OGLE-LMC-CEP-0055  15.452 16.098   2.8620681 0.0000027  6002.29255  0.558  0.485 4.483  0.271 2.711
OGLE-LMC-CEP-0056  15.355 16.256   3.6670371 0.0000230  6002.36330  0.412  0.417 4.628  0.207 3.101
OGLE-LMC-CEP-0057  13.886 14.799  10.3067803 0.0000776  6005.48867  0.318  0.234 6.023  0.102 5.040
OGLE-LMC-CEP-0058  14.977 15.730   4.3155685 0.0000058  6001.56383  0.603  0.450 4.606  0.225 3.002
OGLE-LMC-CEP-0059  15.011 15.815   4.3903931 0.0000083  6004.34899  0.472  0.432 4.772  0.204 3.294
OGLE-LMC-CEP-0060  15.417 16.199   3.4064849 0.0000072  6000.57849  0.523  0.454 4.588  0.248 2.934
OGLE-LMC-CEP-0063     -   13.630  21.0677110 0.0040892       -        -      -     -      -     -  
OGLE-LMC-CEP-0064  15.295 15.987   3.2291389 0.0000063  6001.30270  0.545  0.442 4.407  0.233 2.602
OGLE-LMC-CEP-0067  15.327 16.111   3.4854335 0.0000044  6003.23717  0.487  0.416 4.558  0.218 2.881
OGLE-LMC-CEP-0068  12.748 13.584  28.3738735 0.0003703  6005.00515  0.761  0.407 5.057  0.302 3.804
OGLE-LMC-CEP-0070  13.754 14.766  13.7462846 0.0000794  6011.02012  0.470  0.100 4.533  0.151 1.596
OGLE-LMC-CEP-0072  15.565 16.253   2.3366463 0.0000121  6000.01759  0.290  0.218 4.041  0.068 1.118
OGLE-LMC-CEP-0075  15.342 16.121   3.4187485 0.0000029  6003.10255  0.590  0.443 4.491  0.258 2.740
OGLE-LMC-CEP-0076  15.033 15.904   5.1478925 0.0000225  6000.45137  0.232  0.277 4.977  0.047 3.799
OGLE-LMC-CEP-0078  14.316 15.172   7.3826504 0.0000224  6001.86552  0.469  0.361 5.300  0.175 3.524
OGLE-LMC-CEP-0079  13.103 14.132  22.5437817 0.0002185  6001.56476  0.663  0.306 5.036  0.192 3.311
OGLE-LMC-CEP-0087  15.213 15.955   3.5902086 0.0000039  6002.84126  0.636  0.479 4.476  0.290 2.721
OGLE-LMC-CEP-0089  15.194 15.991   4.6938588 0.0000172  6003.35310  0.323  0.321 4.864  0.091 3.285
